user_id,full_name,pan,pan_valid,aadhaar_last4,aadhaar_valid,aadhaar_premasked,date_of_birth,city,state,monthly_income,occupation,signup_timestamp,kyc_status,risk_segment,income_valid,income_missing,dob_missing,signup_missing
USR10043,Inaya Lanka,HGKBQ4142L,True,8210,False,True,1979-08-22 00:00:00,Mumbai,Maharashtra,19140.0,Unemployed,2024-10-28 03:33:00,PENDING,LOW,True,False,False,False
USR10049,Mugdha Biswas,,False,,False,False,1975-09-10 00:00:00,Jalandhar,Punjab,13408.0,Salaried,2024-03-31 00:00:00,VERIFIED,MEDIUM,True,False,False,False
USR10052,Ladli Doctor,UZ1LQ2970S,False,,False,False,1977-07-04 21:55:00,Ludhiana,Punjab,7488.0,Freelancer,2025-01-20 00:00:00,PENDING,MEDIUM,True,False,False,False
USR10088,Jyoti Soni,JNJEH7052X,True,3823,True,False,1986-01-05 00:00:00,Ludhiana,Punjab,26367.0,Student,,PENDING,LOW,True,False,False,True
USR10157,Jonathan Sood,SFLSS8791F,True,2962,False,False,1963-01-03 00:00:00,Pune,Maharashtra,,Business Owner,2024-10-04 00:00:00,VERIFIED,HIGH,False,True,False,False
USR10171,Aditya Sibal,,False,0236,True,False,1987-10-23 00:00:00,Jaipur,Rajasthan,22421.0,Salaried,2024-08-12 02:26:04,VERIFIED,UNKNOWN,True,False,False,False
USR10188,Simon Parsa,GGAKL4874Q,True,9256,True,False,1997-01-26 13:19:00,Delhi,Delhi,29546.0,Farmer,,VERIFIED,HIGH,True,False,False,True
USR10188,Simon Parsa,GGAKL4874Q,True,9256,True,False,1997-01-26 13:19:00,Delhi,Delhi,29546.0,Farmer,,REJECTED,HIGH,True,False,False,True
USR10194,Varsha Duga1,VRUMG3903Q,True,6003,True,False,1963-09-26 00:00:00,Lucknow,Uttar Pradesh,,Farmer,2024-04-14 00:00:00,VERIFIED,LOW,False,True,False,False
USR10202,Chandresh Sem,RMZZG6888N,True,3806,True,False,1995-03-22 12:14:39,Bengaluru,Karnataka,17757.0,Unemployed,2025-06-04 07:47:00,VERIFIED,LOW,True,False,False,False
USR10214,Harsh Sekhon,UPNBS3806F,True,9088,True,False,1968-02-10 00:00:00,Bengaluru,Karnataka,-36523.0,Business Owner,2024-12-12 11:55:00,VERIFIED,MEDIUM,False,False,False,False
USR10233,Amol Das,DKWOM9606J,True,0002,False,False,1998-05-06 00:00:00,Bengaluru,Karnataka,73590.0,Self Employed,,VERIFIED,HIGH,True,False,False,True
USR10239,Abha Bhatti,IEPWC1430S,True,2150,False,False,1994-06-30 00:00:00,Hyderabad,Telangana,26418.0,Farmer,2024-12-13 00:00:00,VERIFIED,LOW,True,False,False,False
USR10277,Aarini Sani,NTTHD3525C,True,2322,True,False,2006-02-12 12:54:11,Pune,Maharashtra,,Unemployed,2025-05-11 00:00:00,VERIFIED,MEDIUM,False,True,False,False
USR10288,Girindra Basu,KTTEC4601T,True,6313,False,True,,Chennai,Tamil Nadu,64157.0,Salaried,2024-03-29 00:00:00,VERIFIED,MEDIUM,True,False,True,False
USR10288,Eesha Gola,JGQKP4206F,True,,False,False,1996-10-29 00:00:00,Jalandhar,Punjab,,Unemployed,2026-02-28 00:00:00,VERIFIED,HIGH,False,True,False,False
USR10310,Alka Batta,STKWA9193W,True,1932,True,False,1961-05-07 22:46:00,Jaipur,Rajasthan,,Salaried,2025-11-13 00:00:00,VERIFIED,MEDIUM,False,True,False,False
USR10326,Brijesh Gour,EXIZI9668V,True,9328,True,False,1977-11-23 00:00:00,Hyderabad,Telangana,,Self Employed,2026-01-19 00:00:00,VERIFIED,LOW,False,True,False,False
